Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2018-07-31,7736.25,7449.31,7760.74,7610.9,7610.9,5.95405e+08,-1.60821,
2018-07-30,8176.08,7663.7,8176.27,7735.3,7735.3,7.65186e+08,-5.39086,
2018-07-29,8216.7,7867.44,8273.61,8176.06,8176.06,6.81121e+08,-0.495574,
2018-07-28,8230.82,8123.53,8291.55,8216.78,8216.78,2.80233e+08,-0.171183,
2018-07-27,8182.88,8070.04,8238.04,8230.87,8230.87,2.95872e+08,0.586345,
2018-07-26,7937.1,7806.25,8278.01,8182.89,8182.89,6.46256e+08,3.09478,
2018-07-25,8170.37,7862.67,8302.24,7937.25,7937.25,6.43954e+08,-2.85157,
2018-07-24,8395.81,8061.07,8481.11,8170.23,8170.23,7.36531e+08,-2.68694,
2018-07-23,7718,7692.16,8485.71,8395.82,8395.82,1.16656e+09,8.78233,
2018-07-22,7398.64,7376.66,7798.59,7718,7718,7.45533e+08,4.31647,
2018-07-21,7405.4,7345.25,7569.28,7398.64,7398.64,3.55565e+08,-0.0912816,
2018-07-20,7333.93,7220.37,7453.07,7405.4,7405.4,2.9744e+08,0.974508,
2018-07-19,7477.1,7279.34,7676.55,7333.93,7333.93,6.03034e+08,-1.92002,
2018-07-18,7383.39,7289.9,7563.7,7477.5,7477.5,5.22544e+08,1.27462,
2018-07-17,7326.76,7253.71,7590.65,7383.39,7383.39,7.88461e+08,0.773745,
2018-07-16,6740.54,6677.56,7476.24,7326.7,7326.7,7.99401e+08,8.69588,
2018-07-15,6364.26,6349.83,6761.84,6740.55,6740.55,4.94265e+08,5.91255,
2018-07-14,6268.32,6245.75,6401.5,6364.26,6364.26,2.18543e+08,1.52359,
2018-07-13,6229.61,6190.18,6332.46,6268.75,6268.75,1.74417e+08,0.624735,
2018-07-12,6253.66,6131.54,6349.21,6229.83,6229.83,3.19802e+08,-0.380101,
2018-07-11,6394.36,6084,6394.93,6253.6,6253.6,4.09078e+08,-2.20131,
2018-07-10,6306.87,6293.68,6405.59,6394.36,6394.36,3.27668e+08,1.38754,
2018-07-09,6668.84,6277.23,6683.61,6306.85,6306.85,4.70432e+08,-5.42808,
2018-07-08,6707.46,6625.58,6803.1,6668.84,6668.84,3.28316e+08,-0.574592,
2018-07-07,6758.08,6684.15,6782.85,6707.38,6707.38,2.68455e+08,-0.750216,
2018-07-06,6602.03,6518.23,6814.42,6758.08,6758.08,2.77168e+08,2.36382,
2018-07-05,6534.81,6458.14,6633.44,6602.02,6602.02,3.1076e+08,1.02849,
2018-07-04,6589.77,6448.23,6691.32,6534.81,6534.81,4.21189e+08,-0.838384,
2018-07-03,6508.43,6411.13,6777.97,6590.06,6590.06,4.12202e+08,1.23633,
2018-07-02,6616.6,6473.48,6670.3,6509.58,6509.58,3.56391e+08,-1.60347,
2018-07-01,6342.69,5537.86,6673.71,6615.66,6615.66,4.65916e+08,4.36375,
2018-06-30,6385.43,6262.72,6429.5,6339.04,6339.04,2.59708e+08,-0.725718,
2018-06-29,6203.81,6194.51,6503.33,6385.38,6385.38,4.19285e+08,2.92692,
2018-06-28,5870.81,5813.02,6286.67,6203.8,6203.8,5.54799e+08,5.6635,
2018-06-27,6141.57,5844.26,6172.23,5871.28,5871.28,3.85907e+08,-4.40099,
